FunctionSignature, DecoderAndSanitizerAddress, TargetAddress, ValueIsNonZero, FunctionSelector, PackedArgumentAddresses, Descrition
"approve(address,uint256)", 0x000000000000000000000000000000000000007c, 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2, 0x00, 0x095ea7b3, 0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb, "Approve MorphoBlue to spend wETH"
"approve(address,uint256)", 0x000000000000000000000000000000000000007c, 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2, 0x00, 0x095ea7b3, 0xda0002859B2d05F66a753d8241fCDE8623f26F4f, "Approve Gearbox dWETHV3 to spend wETH"
"approve(address,uint256)", 0x000000000000000000000000000000000000007c, 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2, 0x00, 0x095ea7b3, 0xBA12222222228d8Ba445958a75a0704d566BF2C8, "Approve Balancer Vault to spend wETH"
"approve(address,uint256)", 0x000000000000000000000000000000000000007c, 0xae78736Cd615f374D3085123A210448E74Fc6393, 0x00, 0x095ea7b3, 0xBA12222222228d8Ba445958a75a0704d566BF2C8, "Approve Balancer Vault to spend rETH"
"approve(address,uint256)", 0x000000000000000000000000000000000000007c, 0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee, 0x00, 0x095ea7b3, 0xBA12222222228d8Ba445958a75a0704d566BF2C8, "Approve Balancer Vault to spend weETH"
